Inoculation,Organization,Clade,Strain,Replicate,Label,Root_DM,Shoot_DM,Total_DM,R_S_Ratio,MR_Root_DM,MR_Shoot_DM,MR_Total_DM,MR_R_S_Ratio,Bulk_Mycorrhizal_C1,Bulk_Mycorrhizal_C2,BulkMAOM_Mycorrhizal_C1,BulkMAOM_Mycorrhizal_C2,Inc_Mycorrhizal_C1,Inc_Mycorrhizal_C2,IncMAOM_Mycorrhizal_C1,IncMAOM_Mycorrhizal_C2,Bulk_SOC,Bulk_MAOC,Inc_SOC,Inc_MAOC,Incubation_effect_C1,Incubation_effect_C1_MAOM,N_Conc,S_Conc ,P_Conc,K_Conc,Mg_Conc,B_Conc, Zn_Conc ,Mn_Conc ,Fe_Conc ,Cu_Conc ,Al_Conc ,% Hyphae,% Vesicles,% Arbuscules
AMF,Homokaryon,II,330,1,330_1,8.171452328,5.6,13.77145233,1.459187916,0.457896753,0.085714286,0.54361104,0.063742969,0.113952968,21.50056,0.046330342,8.680424239,0.062914065,7.672447,0.215985282,8.150388,5.31416661,5.337336124,8.151292653,26.51611848,-0.051038903,0.16965494,9.5,0.7,1,23.4,1.8,13.83,25,659,86,5.25,47,50,13,27
AMF,Homokaryon,II,330,2,330_2,7.628422713,6.55,14.17842271,1.164644689,-0.085132862,1.035714286,0.95058142,-0.230800258,0.20925034,31.704597,0.040496097,17.60699866,0.150632442,24.693843,0.21246697,10.570496,6.566335298,2.3,6.136589896,20.09376879,-0.058617898,0.171970873,6.5,0.6,0.8,25.3,1.3,9.02,25,455,71,3.85,41,37.03703704,1.851851852,1.851851852
AMF,Homokaryon,II,330,3,330_3,5.830827068,7.3,13.13082707,0.798743434,-1.882728507,1.785714286,-0.09701422,-0.596701513,0.157517154,26.252859,0.032290898,6.772383496,0.029647423,4.561142,0.112921445,6.452654,6.036745465,4.768025652,6.454800838,17.45579529,-0.127869731,0.080630547,7.3,0.7,0.8,30.3,1.3,13.43,47,466,105,5.88,75,58.62068966,18.3908046,40.22988506
AMF,Homokaryon,II,330,4,330_4,6.83677686,5.1,11.93677686,1.340544482,-0.876778715,-0.414285714,-1.29106443,-0.054900465,0.126253634,30.060389,0.115184914,7.468931879,0.086692728,34.677091,0.063900408,2.904564,4.168997564,15.42187238,2.523080465,22.04154249,-0.039560906,-0.051284506,9.5,0.8,1.1,28.3,1.8,16.46,27,531,87,5.34,56,67.1875,1.5625,43.75
AMF,Homokaryon,II,330,5,330_5,10.37050905,5,15.37050905,2.074101809,2.656953475,-0.514285714,2.14266776,0.678656862,0.10378371,12.65655,0.097806296,5.622758739,0.030938019,8.839434,0.129120118,7.094512,8.21170165,17.39471683,3.518375662,18.19114807,-0.072845691,0.031313822,9.5,0.9,1.2,32.5,1.8,11.94,74,400,100,5.88,41,59,8,30
AMF,Homokaryon,II,330,6,330_6,9.639447732,5,14.63944773,1.927889546,1.925892157,-0.514285714,1.41160644,0.532444599,0.174721013,37.982829,0.492926993,29.8743632,0.555861335,132.347937,0.306014236,16.813969,4.583470059,16.5,4.208266965,18.19338852,0.381140322,-0.186912757,7.7,0.7,0.9,27.3,1.5,14.05,29,533,95,5.41,72,32.53012048,3.614457831,4.819277108
AMF,Homokaryon,II,330,7,330_7,7.146122103,7.3,14.4461221,0.978920836,-0.567433472,1.785714286,1.21828081,-0.416524111,0.471716468,82.757275,0.292110218,14.24927891,1.220270175,97.621614,0.897466217,35.472973,5.690710052,20.5,12.47540329,25.31103658,0.748553707,0.605355999,9.5,1,1.1,26.9,2.6,24.68,32,638,93,5.22,193,85,5,53.75
AMF,Homokaryon,I,414,1,414_1,9.200568182,4.4,13.60056818,2.091038223,1.487012607,-1.114285714,0.37272689,0.695593276,0.192631289,39.312508,0.055088067,14.88866685,0.21347472,35.57912,0.17531664,7.7232,4.869314373,3.7,6.025593791,22.70824077,0.020843431,0.120228573,11.7,1,1.2,26.2,2.5,24.84,67,1146,92,6.97,65,69,34,24
AMF,Homokaryon,I,414,2,414_2,9.770940767,5.1,14.87094077,1.915870739,2.057385192,-0.414285714,1.64309948,0.520425792,0.04392889,6.863889,0.072068962,9.239610568,0.15605259,27.866534,0.110633432,5.884757,6.386574239,7.8,5.615058233,18.75312686,0.1121237,0.03856447,8.3,0.8,1.2,31.1,2,11.34,58,512,107,6.46,95,29.33333333,1.333333333,6.666666667
AMF,Homokaryon,I,414,3,414_3,9.892057026,5.2,15.09205703,1.902318659,2.178501451,-0.314285714,1.86421574,0.506873712,0.107232431,17.579087,0.081028128,4.209394239,0.096990346,14.476171,0.105817952,5.317485,6.12430362,19.24935604,6.676942705,19.94976336,-0.010242085,0.024789824,9.3,0.7,0.9,24.9,1.6,15.5,51,534,98,5.37,58,50,28,27
